Name,Restaurant_ID,U1,U2,U3,U4,U5
Rich JC,rich-j-c-korean-restaurant-ann-arbor-2,,5,,3,3
Kang's,kangs-korean-restaurant-ann-arbor-2,,3.5,,,3.5
Blue Leprechaun,blue-leprechaun-ann-arbor,3,3.5,3.5,3,
Sava's,savas-ann-arbor,,,,5,3
Potbelly Sandwich Shop,potbelly-sandwich-shop-ann-arbor-4,,,4,3.5,
University Cafe,university-cafe-ann-arbor,,4,,,3
Subway,subway-ann-arbor-2,3,2,3.5,2.5,2
Amer's - Church Street,amers-delicatessen-ann-arbor,2.5,2.5,2.5,3.5,3
Pacific Rim,pacific-rim-ann-arbor,3,5,,,4
South U Pizza,south-u-pizza-ann-arbor,3.5,1,2,2,
Backroom Pizza,backroom-pizza-ann-arbor,,1.5,4,2.5,
Brown Jug,brown-jug-ann-arbor,3,3,3.5,3,
Good Time Charleys,good-time-charleys-ann-arbor,3.5,4,4,4,
Isalita,isalita-ann-arbor,4,5,,,
Noodle & Co,noodles-and-company-ann-arbor-2,3.5,1,3,1,
Tomukun Noodle Bar,tomukun-korean-barbeque-ann-arbor,4.5,4,,,4
Sadako Japanese Restaurant,sadako-japanese-restaurant-ann-arbor,3,1.5,4,5,3
Grizzly Peak Brewing Company,grizzly-peak-brewing-company-ann-arbor,,3.5,4.5,,
Mani Osteria & Bar,mani-osteria-and-bar-ann-arbor,5,4.5,,4.5,
Taste of India,taste-of-india-ann-arbor,5,,,4,
Ahmo’s Gyros and Deli,ahmos-gyros-and-deli-ypsilanti,4,3,,3,
Jimmy John's,jimmy-johns-ann-arbor-3,2.5,2,3,5,2.5
Melange,melange-ann-arbor,4.5,,,5,
Wings Over,wings-over-ann-arbor-ann-arbor,,,4,4,
Jamaican Jerk Pit,jamaican-jerk-pit-ann-arbor,4.5,4,,4.5,
NeoPapalis,neopapalis-ann-arbor,4,,4,,
Buffalo Wild Wings,buffalo-wild-wings-ann-arbor,,2,3,3.5,3
Chipolte Mexican Grill,chipotle-mexican-grill-ann-arbor-3,5,4,2,5,2.5
Jolly Pumpkin Cafe and Brewery,jolly-pumpkin-cafe-and-brewery-ann-arbor-3,4,4.5,,,
The Black Pearl,the-black-pearl-ann-arbor,,,,,3.5
Madras Masala,madras-masala-ann-arbor,5,4,,4,
Aventura,aventura-ann-arbor,4.5,5,,,
Sushi Town,sushi-town-ann-arbor,,4,,,
Miki Japanese Restaurant,miki-japanese-restaurant-ann-arbor,,,,,4
The Chop House,the-chop-house-ann-arbor,3.5,4,,,4
Gandy Dancer,gandy-dancer-restaurant-ann-arbor,,2.2,,,
Panera Bread,panera-bread-ann-arbor-3,,3.5,3.5,2,
Pieology,pieology-pizzeria-ann-arbor,,3.5,4.5,,
No Thai,no-thai-ann-arbor,,3,3,3,
