Res,User,Rate,FoodType
0,2,5,"korean"
0,4,3,"korean"
1,2,3.5,""
1,5,3.5,""
2,5,3,"korean,cafes"
3,2,2,"sandwiches,hotdogs"
3,3,3.5,"sandwiches,hotdogs"
3,4,2.5,"sandwiches,hotdogs"
3,5,2,"sandwiches,hotdogs"
4,1,2.5,"coffee,vegetarian,sandwiches"
4,2,2.5,"coffee,vegetarian,sandwiches"
4,3,2.5,"coffee,vegetarian,sandwiches"
4,4,3.5,"coffee,vegetarian,sandwiches"
5,1,3,"asianfusion"
5,2,5,"asianfusion"
5,5,4,"asianfusion"
6,1,3.5,"pizza"
6,2,1,"pizza"
6,3,2,"pizza"
6,4,2,"pizza"
7,2,1.5,"pizza"
7,3,4,"pizza"
7,4,2.5,"pizza"
8,1,3,"pizza,tradamerican,bars"
8,2,3,"pizza,tradamerican,bars"
8,3,3.5,"pizza,tradamerican,bars"
8,4,3,"pizza,tradamerican,bars"
9,1,3.5,"newamerican,pubs"
9,2,4,"newamerican,pubs"
9,3,4,"newamerican,pubs"
10,1,4,"mexican"
10,2,5,"mexican"
11,1,3.5,"asianfusion,comfortfood,italian"
11,2,1,"asianfusion,comfortfood,italian"
11,3,3,"asianfusion,comfortfood,italian"
12,1,4.5,"korean,bbq"
12,2,4,"korean,bbq"
12,5,4,"korean,bbq"
13,1,3,"newamerican"
13,3,4,"newamerican"
13,4,5,"newamerican"
13,5,3,"newamerican"
14,2,3.5,"newamerican,breweries"
14,3,4.5,"newamerican,breweries"
15,1,5,"italian,pizza"
15,2,4.5,"italian,pizza"
15,4,4.5,"italian,pizza"
16,1,5,"indpak"
16,4,4,"indpak"
17,1,4,"mediterranean,greek"
17,2,3,"mediterranean,greek"
17,4,3,"mediterranean,greek"
18,1,2.5,"sandwiches"
18,2,2,"sandwiches"
18,3,3,"sandwiches"
18,4,5,"sandwiches"
18,5,2.5,"sandwiches"
19,1,4.5,"asianfusion,lounges"
19,4,5,"asianfusion,lounges"
20,3,4,"chicken_wings,bbq"
20,4,4,"chicken_wings,bbq"
21,1,4.5,"caribbean"
21,2,4,"caribbean"
21,4,4.5,"caribbean"
22,1,4,"salad,pizza,sandwiches"
23,2,2,"sportsbars,tradamerican,chicken_wings"
23,3,3,"sportsbars,tradamerican,chicken_wings"
23,4,3.5,"sportsbars,tradamerican,chicken_wings"
23,5,3,"sportsbars,tradamerican,chicken_wings"
24,1,5,"hotdogs,mexican"
24,2,4,"hotdogs,mexican"
24,3,2,"hotdogs,mexican"
25,1,4,"newamerican,breweries,gastropubs"
25,2,4.5,"newamerican,breweries,gastropubs"
26,5,3.5,"seafood,lounges"
27,1,5,"indpak"
27,2,4,"indpak"
27,4,4,"indpak"
28,1,4.5,"tapas,spanish,bars"
28,2,5,"tapas,spanish,bars"
29,2,4,"sushi"
30,5,4,"japanese,sushi"
31,1,3.5,"steak"
31,2,4,"steak"
31,5,4,"steak"
32,2,2.2,"tradamerican"
33,1,3,"bars,irish"
33,2,3.5,"bars,irish"
33,3,3.5,"bars,irish"
33,4,3,"bars,irish"
34,4,5,"newamerican"
34,5,3,"newamerican"
35,3,4,"sandwiches"
35,4,3.5,"sandwiches"
36,3,3.5,"sandwiches,salad,soup"
36,4,2,"sandwiches,salad,soup"
37,2,3.5,"pizza"
37,3,4.5,"pizza"
38,2,3,"thai"
38,3,3,"thai"
38,4,3,"thai"
