Restaurant_ID,U1,U2,U3,U4,U5,foodtype
rich-j-c-korean-restaurant-ann-arbor-2,,5,,3,3,korean
angs-korean-restaurant-ann-arbor-2,,3.5,,,3.5,
university-cafe-ann-arbor,,4,,,3,"korean,cafes"
subway-ann-arbor-2,3,2,3.5,2.5,2,"sandwiches,hotdogs"
amers-delicatessen-ann-arbor,2.5,2.5,2.5,3.5,3,"coffee,vegetarian,sandwiches"
pacific-rim-ann-arbor,3,5,,,4,asianfusion
south-u-pizza-ann-arbor,3.5,1,2,2,,pizza
backroom-pizza-ann-arbor,,1.5,4,2.5,,pizza
brown-jug-ann-arbor,3,3,3.5,3,,"pizza,tradamerican,bars"
good-time-charleys-ann-arbor,3.5,4,4,4,,"newamerican,pubs"
isalita-ann-arbor,4,5,,,,mexican
noodles-and-company-ann-arbor-2,3.5,1,3,1,,"asianfusion,comfortfood,italian"
tomukun-korean-barbeque-ann-arbor,4.5,4,,,4,"korean,bbq"
sadako-japanese-restaurant-ann-arbor,3,1.5,4,5,3,newamerican
grizzly-peak-brewing-company-ann-arbor,,3.5,4.5,,,"newamerican,breweries"
mani-osteria-and-bar-ann-arbor,5,4.5,,4.5,,"italian,pizza"
taste-of-india-ann-arbor,5,,,4,,indpak
ahmos-gyros-and-deli-ypsilanti,4,3,,3,,"mediterranean,greek"
jimmy-johns-ann-arbor-3,2.5,2,3,5,2.5,sandwiches
melange-ann-arbor,4.5,,,5,,"asianfusion,lounges"
wings-over-ann-arbor-ann-arbor,,,4,4,,"chicken_wings,bbq"
jamaican-jerk-pit-ann-arbor,4.5,4,,4.5,,caribbean
neopapalis-ann-arbor,4,,4,,,"salad,pizza,sandwiches"
buffalo-wild-wings-ann-arbor,,2,3,3.5,3,"sportsbars,tradamerican,chicken_wings"
chipotle-mexican-grill-ann-arbor-3,5,4,2,5,2.5,"hotdogs,mexican"
jolly-pumpkin-cafe-and-brewery-ann-arbor-3,4,4.5,,,,"newamerican,breweries,gastropubs"
the-black-pearl-ann-arbor,,,,,3.5,"seafood,lounges"
madras-masala-ann-arbor,5,4,,4,,indpak
aventura-ann-arbor,4.5,5,,,,"tapas,spanish,bars"
sushi-town-ann-arbor,,4,,,,sushi
miki-japanese-restaurant-ann-arbor,,,,,4,"japanese,sushi"
the-chop-house-ann-arbor,3.5,4,,,4,steak
gandy-dancer-restaurant-ann-arbor,,2.2,,,,tradamerican
blue-leprechaun-ann-arbor,3,3.5,3.5,3,,"bars,irish"
savas-ann-arbor,,,,5,3,newamerican
potbelly-sandwich-shop-ann-arbor-4,,,4,3.5,,sandwiches
panera-bread-ann-arbor-3,,3.5,3.5,2,,"sandwiches,salad,soup"
pieology-pizzeria-ann-arbor,,3.5,4.5,,,pizza
no-thai-ann-arbor,,3,3,3,,thai
